second,tpm
0,0
1,2340
2,16980
3,40020
4,55740
5,81480
6,108000
7,136440
8,156840
9,191640
10,221220
11,250800
12,276660
13,318720
14,349200
15,377580
16,399420
17,425040
18,465960
19,489180
20,512160
21,524640
22,530040
23,569460
24,583380
25,593700
26,629940
27,644940
28,624420
29,658620
30,665280
31,674100
32,696000
33,715680
34,733980
35,764460
36,776520
37,782160
38,756360
39,622500
40,538620
41,518580
42,544980
43,537120
44,569400
45,536880
46,554820
47,547200
48,542160
49,574500
50,558480
51,555600
52,536280
53,555900
54,573660
55,559080
56,581520
57,586740
58,553200
59,537360
60,511860
61,528420
62,546060
63,508500
64,509700
65,537780
66,484080
67,525960
68,511080
69,521820
70,567600
71,627060
72,614100
73,644760
74,614580
75,638040
76,613980
77,615240
78,600360
79,545400
80,595020
81,556860
82,566760
83,578760
84,589620
85,531660
86,586380
87,580020
88,592860
89,593040
90,576540
91,586920
92,582600
93,567480
94,575340
95,586380
96,585300
97,593040
98,590880
99,594720
100,602160
101,571740
102,587700
103,575940
104,558480
105,570120
106,558000
107,600420
108,560460
109,588960
110,586260
111,573240
112,554940
113,575760
114,591600
115,590580
116,589380
117,573780
118,564960
119,583680
120,582060
121,573300
122,594420
123,578040
124,582600
125,564780
126,581460
127,590880
128,565140
129,587940
130,583680
131,600900
132,581700
133,550560
134,587040
135,584760
136,569640
137,590340
138,612960
139,600060
140,561420
141,603480
142,596220
143,584520
144,589860
145,600420
146,591780
147,599820
148,581100
149,585540
150,594000
151,591780
152,594720
153,596580
154,610080
155,598080
156,576480
157,621840
158,614640
159,597240
160,609420
161,606660
162,622200
163,585720
164,601620
165,604200
166,584700
167,575340
168,606960
169,591780
170,593040
171,580980
172,616380
173,585840
174,619020
175,579000
176,602760
177,599940
178,583080
179,585780
180,610260
181,599640
182,592800
183,586740
184,600180
185,590580
186,576780
187,592380
188,591300
189,610440
190,589980
191,588600
192,602220
193,605760
194,569220
195,608940
196,596700
197,605760
198,604140
199,583020
200,595920
201,598140
202,574680
203,602580
204,606240
205,608160
206,596220
207,607500
208,608880
209,577560
210,604200
211,604560
212,607560
213,600780
214,588660
215,608040
216,606780
217,574200
218,592260
219,614760
220,597420
221,586800
222,597600
223,592620
224,594180
225,586080
226,611880
227,602940
228,608160
229,602100
230,602880
231,620100
232,599280
233,593820
234,628380
235,597300
236,615420
237,601620
238,610740
239,596400
240,595620
241,603900
242,602760
243,599100
244,607380
245,603240
246,601380
247,579900
248,583260
249,633600
250,604440
251,608220
252,594780
253,589860
254,612120
255,585660
256,606780
257,578820
258,611640
259,593040
260,586080
261,605640
262,587760
263,596640
264,616620
265,617520
266,638280
267,601920
268,625980
269,593520
270,614160
271,616140
272,606720
273,622860
274,621960
275,606480
276,600900
277,600720
278,621360
279,629280
280,640200
281,614520
282,604500
283,604260
284,633480
285,599160
286,629640
287,600960
288,568080
289,614160
290,572760
291,598800
