second,tpm
0,0
1,3420
2,20280
3,38460
4,60120
5,94140
6,119340
7,148500
8,171480
9,210420
10,240240
11,263760
12,296760
13,336540
14,367380
15,403500
16,423120
17,442860
18,480420
19,512280
20,514680
21,550800
22,573120
23,576420
24,631080
25,656100
26,666000
27,697620
28,709440
29,740940
30,748380
31,780540
32,801600
33,701040
34,805380
35,838140
36,855120
37,875400
38,929700
39,940260
40,950580
41,962280
42,995700
43,1014420
44,1027860
45,1038960
46,1048620
47,1061040
48,1039740
49,1065360
50,1028400
51,1041240
52,1023240
53,1044600
54,1044840
55,1048320
56,1054320
57,1048860
58,1066740
59,1059840
60,1083120
61,1057260
62,1082820
63,1075980
64,1060920
65,1072500
66,1081080
67,1072800
68,1063680
69,1073400
70,1080120
71,1084560
72,1078440
73,1044600
74,1033680
75,1010940
76,1031760
77,1040580
78,1035840
79,1044420
80,1058220
81,1051620
82,1051140
83,1071540
84,1052220
85,1067460
86,1085940
87,1091700
88,1079460
89,1066620
90,1033140
91,1070580
92,1026300
93,1020480
94,1014300
95,1024260
96,1065180
97,1075800
98,1081800
99,1077540
100,1064880
101,1062600
102,1089960
103,1078140
104,1092300
105,1082400
106,1084920
107,1086300
108,1092600
109,1088100
110,1080480
111,1086360
112,1075920
113,1083540
114,1072140
115,1078200
116,1073220
117,1073940
118,1086600
119,1080360
120,1087200
121,1087500
122,1084440
123,1080900
124,1074120
125,1083660
126,1091100
127,1069320
128,1093860
129,1084080
130,1077960
131,1080360
132,1083000
133,1091100
134,1098660
135,1097880
136,1090260
137,1102380
138,1095840
139,1092180
140,1059600
141,1091940
142,1083180
143,1089660
144,1100520
145,1082760
146,1091460
147,1075380
148,1103280
149,1099620
150,1108500
151,1100760
152,1049820
153,1054500
154,1071660
155,1086240
156,1085940
157,1053780
158,1042380
159,1065480
160,1077960
161,1077000
162,1058280
163,1034700
164,1017720
165,1033800
166,1038180
167,1050240
168,1037580
169,1006620
170,1052700
171,1030200
172,1013160
173,1015500
174,987180
175,955620
176,989220
177,1011480
178,1016340
179,1016640
180,1005840
181,1013400
182,1041660
183,1023540
184,1046400
185,1026840
186,1023540
187,920040
188,960840
189,1022100
