timestamp,questions,qps,com_commit,com_rollback,tps,threads_running,threads_connected,pages_flushed,pages_flushed_ps,purge_trx_id,purge_tps,history_list_length
2026-04-23 01:14:59,35,0,0,0,0,2,1,8,0,0,0,0
2026-04-23 01:15:00,45,10,0,0,0,2,3,24,16,0,0,0
2026-04-23 01:15:02,450,405,135,1,136,4,5,38,14,0,0,0
2026-04-23 01:15:03,1783,1333,589,3,456,7,8,2298,2260,0,0,0
2026-04-23 01:15:04,4305,2522,1463,6,877,9,10,2298,0,0,0,0
2026-04-23 01:15:05,8183,3878,2799,11,1341,10,12,2298,0,0,0,0
2026-04-23 01:15:06,13434,5251,4619,17,1826,13,14,2298,0,0,0,0
2026-04-23 01:15:07,20269,6835,6987,26,2377,15,17,2298,0,0,0,0
2026-04-23 01:15:08,28483,8214,9842,44,2873,18,19,2298,0,0,0,0
2026-04-23 01:15:09,38547,10064,13317,60,3491,20,21,2298,0,0,0,0
2026-04-23 01:15:10,50014,11467,17267,83,3973,22,23,2298,0,0,0,0
2026-04-23 01:15:11,63204,13190,21816,112,4578,22,25,2298,0,0,0,0
2026-04-23 01:15:13,78315,15111,27044,137,5253,26,28,2298,0,0,0,0
2026-04-23 01:15:14,95096,16781,32887,155,5861,28,30,2298,0,0,0,0
2026-04-23 01:15:15,114725,19629,39687,185,6830,31,32,2298,0,0,0,0
2026-04-23 01:15:16,135185,20460,46794,214,7136,32,34,2298,0,0,0,0
2026-04-23 01:15:17,157552,22367,54567,250,7809,34,36,2298,0,0,0,0
2026-04-23 01:15:18,181672,24120,62923,284,8390,36,39,2298,0,0,0,0
2026-04-23 01:15:19,207542,25870,71906,318,9017,39,41,2298,0,0,0,0
2026-04-23 01:15:20,234663,27121,81289,362,9427,41,43,2298,0,0,0,0
2026-04-23 01:15:21,262661,27998,91006,398,9753,44,45,2298,0,0,0,0
2026-04-23 01:15:23,291893,29232,101119,447,10162,45,48,2298,0,0,0,0
2026-04-23 01:15:24,322359,30466,111705,485,10624,47,50,2298,0,0,0,0
2026-04-23 01:15:25,354036,31677,122672,530,11012,51,52,2298,0,0,0,0
2026-04-23 01:15:26,386926,32890,134111,579,11488,51,54,2298,0,0,0,0
2026-04-23 01:15:27,421614,34688,146143,631,12084,54,57,2298,0,0,0,0
2026-04-23 01:15:28,456177,34563,158119,678,12023,55,59,6908,4610,0,0,0
2026-04-23 01:15:29,492294,36117,170627,734,12564,59,61,11368,4460,0,0,0
2026-04-23 01:15:30,529123,36829,183342,798,12779,61,63,16110,4742,0,0,0
2026-04-23 01:15:32,566277,37154,196268,849,12977,64,65,20814,4704,0,0,0
2026-04-23 01:15:33,604272,37995,209469,889,13241,65,68,25514,4700,0,0,0
2026-04-23 01:15:34,644507,40235,223410,948,14000,69,70,34794,9280,0,0,0
2026-04-23 01:15:35,686100,41593,237840,1028,14510,70,72,39474,4680,0,0,0
2026-04-23 01:15:36,729099,42999,252741,1086,14959,72,74,44114,4640,0,0,0
2026-04-23 01:15:37,772491,43392,267818,1151,15142,75,77,48792,4678,0,0,0
2026-04-23 01:15:38,816886,44395,283232,1215,15478,74,79,53498,4706,0,0,0
2026-04-23 01:15:39,861502,44616,298716,1279,15548,75,81,58266,4768,0,0,0
2026-04-23 01:15:41,907868,46366,314807,1350,16162,71,83,63090,4824,0,0,0
2026-04-23 01:15:42,952945,45077,330445,1431,15719,81,83,67974,4884,0,0,0
2026-04-23 01:15:43,999809,46864,346673,1505,16302,78,83,77808,9834,0,0,0
2026-04-23 01:15:44,1047214,47405,363133,1575,16530,80,83,82742,4934,0,0,0
2026-04-23 01:15:45,1095188,47974,379794,1655,16741,80,83,87702,4960,0,0,0
2026-04-23 01:15:46,1144498,49310,396924,1736,17211,81,83,92644,4942,0,0,0
2026-04-23 01:15:47,1194383,49885,414263,1800,17403,78,83,97558,4914,0,0,0
2026-04-23 01:15:48,1245070,50687,431823,1864,17624,80,83,102448,4890,0,0,0
2026-04-23 01:15:50,1294702,49632,449064,1944,17321,82,83,107334,4886,0,0,0
2026-04-23 01:15:51,1344450,49748,466313,2020,17325,74,83,117248,9914,0,0,0
2026-04-23 01:15:52,1394720,50270,483753,2106,17526,81,83,122186,4938,0,0,0
2026-04-23 01:15:53,1446503,51783,501731,2186,18058,76,83,127052,4866,0,0,0
2026-04-23 01:15:54,1498364,51861,519770,2265,18118,79,83,131868,4816,0,0,0
2026-04-23 01:15:55,1550985,52621,538011,2329,18305,82,83,136666,4798,0,0,0
2026-04-23 01:15:56,1603414,52429,556192,2410,18262,74,83,141386,4720,0,0,0
2026-04-23 01:15:58,1656315,52901,574542,2493,18433,74,83,146116,4730,0,0,0
2026-04-23 01:15:59,1705033,48718,591469,2581,17015,81,83,159480,13364,0,0,0
2026-04-23 01:16:00,1753801,48768,608441,2651,17042,72,83,172774,13294,0,0,0
2026-04-23 01:16:01,1803960,50159,625830,2734,17472,79,83,199306,26532,0,0,0
2026-04-23 01:16:02,1854305,50345,643315,2804,17555,81,83,212608,13302,0,0,0
2026-04-23 01:16:03,1904652,50347,660756,2896,17533,80,83,225854,13246,0,0,0
2026-04-23 01:16:04,1954924,50272,678227,2959,17534,73,83,238966,13112,0,0,0
2026-04-23 01:16:06,2006143,51219,695965,3037,17816,75,83,252048,13082,0,0,0
2026-04-23 01:16:07,2056497,50354,713374,3123,17495,82,83,265130,13082,0,0,0
2026-04-23 01:16:08,2107184,50687,730979,3211,17693,72,83,278270,13140,0,0,0
2026-04-23 01:16:09,2158070,50886,748572,3297,17679,82,83,291432,13162,0,0,0
2026-04-23 01:16:10,2210616,52546,766768,3390,18289,75,83,317524,26092,0,0,0
2026-04-23 01:16:11,2261753,51137,784561,3456,17859,78,83,330526,13002,0,0,0
2026-04-23 01:16:12,2313440,51687,802495,3540,18018,82,83,343516,12990,0,0,0
2026-04-23 01:16:13,2365425,51985,820497,3634,18096,82,83,356406,12890,0,0,0
2026-04-23 01:16:15,2416247,50822,838159,3717,17745,79,83,369330,12924,0,0,0
2026-04-23 01:16:16,2466412,50165,855553,3787,17464,80,83,382196,12866,0,0,0
2026-04-23 01:16:17,2517567,51155,873284,3859,17803,81,83,394978,12782,0,0,0
2026-04-23 01:16:18,2569164,51597,891214,3939,18010,72,83,420216,25238,0,0,0
2026-04-23 01:16:19,2622328,53164,909646,3999,18492,82,83,432688,12472,0,0,0
2026-04-23 01:16:20,2674931,52603,927872,4104,18331,78,83,445198,12510,0,0,0
2026-04-23 01:16:21,2727692,52761,946130,4203,18357,76,83,457618,12420,0,0,0
2026-04-23 01:16:23,2780540,52848,964480,4281,18428,78,83,469874,12256,0,0,0
2026-04-23 01:16:24,2833471,52931,982812,4364,18415,82,83,482152,12278,0,0,0
2026-04-23 01:16:25,2885342,51871,1000764,4450,18038,82,83,494252,12100,0,0,0
2026-04-23 01:16:26,2935993,50651,1018324,4531,17641,78,83,518536,24284,0,0,0
2026-04-23 01:16:27,2988066,52073,1036388,4608,18141,81,83,530578,12042,0,0,0
2026-04-23 01:16:28,3039284,51218,1054158,4685,17847,70,83,547548,16970,0,0,0
2026-04-23 01:16:29,3090911,51627,1072053,4764,17974,77,83,564518,16970,0,0,0
2026-04-23 01:16:31,3141638,50727,1089663,4848,17694,78,83,581488,16970,0,0,0
2026-04-23 01:16:32,3191772,50134,1107092,4924,17505,74,83,598458,16970,0,0,0
2026-04-23 01:16:33,3241193,49421,1124215,5011,17210,76,83,615460,17002,0,0,0
2026-04-23 01:16:34,3290154,48961,1141235,5080,17089,80,83,632462,17002,0,0,0
2026-04-23 01:16:35,3340625,50471,1158733,5144,17562,81,83,666466,34004,0,0,0
