elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,31870569,0,0
1,31870569,0,0.0
2,31870569,0,0.0
3,31870569,0,0.0
4,31870569,0,0.0
5,31870569,0,0.0
6,31870569,0,0.0
7,31870569,0,0.0
8,31870569,0,0.0
9,31870573,4,240.0
10,31870656,83,4980.0
11,31870901,245,14700.0
12,31871275,374,22440.0
14,31871768,493,14790.0
15,31872428,660,39600.0
16,31873243,815,48900.0
17,31874176,933,55980.0
18,31875280,1104,66240.0
19,31876493,1213,72780.0
20,31877851,1358,81480.0
21,31879298,1447,86820.0
22,31880743,1445,86700.0
23,31882354,1611,96660.0
25,31884149,1795,53850.0
26,31886124,1975,118500.0
27,31888123,1999,119940.0
28,31890232,2109,126540.0
29,31892482,2250,135000.0
30,31894862,2380,142800.0
31,31897369,2507,150420.0
32,31899985,2616,156960.0
33,31902677,2692,161520.0
34,31905516,2839,170340.0
36,31908427,2911,87330.0
37,31911344,2917,175020.0
38,31914398,3054,183240.0
39,31917511,3113,186780.0
40,31920747,3236,194160.0
41,31923972,3225,193500.0
42,31927276,3304,198240.0
43,31930577,3301,198060.0
44,31933803,3226,193560.0
46,31937054,3251,97530.0
47,31940369,3315,198900.0
48,31943709,3340,200400.0
49,31947012,3303,198180.0
50,31950414,3402,204120.0
51,31953847,3433,205980.0
52,31957438,3591,215460.0
53,31961035,3597,215820.0
54,31964647,3612,216720.0
56,31968295,3648,109440.0
57,31971918,3623,217380.0
58,31975666,3748,224880.0
59,31979359,3693,221580.0
60,31983139,3780,226800.0
61,31986947,3808,228480.0
62,31990768,3821,229260.0
63,31994543,3775,226500.0
65,31998274,3731,111930.0
66,32001952,3678,220680.0
67,32005723,3771,226260.0
68,32009299,3576,214560.0
69,32012876,3577,214620.0
70,32016501,3625,217500.0
71,32020090,3589,215340.0
73,32023761,3671,110130.0
74,32027434,3673,220380.0
75,32031128,3694,221640.0
76,32034896,3768,226080.0
77,32038598,3702,222120.0
78,32042327,3729,223740.0
79,32045971,3644,218640.0
81,32049641,3670,110100.0
82,32053400,3759,225540.0
83,32057060,3660,219600.0
84,32060750,3690,221400.0
85,32064367,3617,217020.0
86,32068019,3652,219120.0
87,32071699,3680,220800.0
89,32075370,3671,110130.0
90,32079166,3796,227760.0
91,32082922,3756,225360.0
92,32086598,3676,220560.0
93,32090331,3733,223980.0
94,32094195,3864,231840.0
96,32097712,3517,105510.0
97,32101301,3589,215340.0
98,32104899,3598,215880.0
99,32108503,3604,216240.0
100,32112116,3613,216780.0
101,32115751,3635,218100.0
102,32119329,3578,214680.0
104,32122882,3553,106590.0
105,32126471,3589,215340.0
106,32130061,3590,215400.0
107,32133723,3662,219720.0
108,32137327,3604,216240.0
109,32140918,3591,215460.0
110,32144535,3617,217020.0
112,32148235,3700,111000.0
113,32151914,3679,220740.0
114,32155614,3700,222000.0
115,32159316,3702,222120.0
116,32162823,3507,210420.0
117,32166305,3482,208920.0
118,32169755,3450,207000.0
120,32173250,3495,104850.0
121,32176854,3604,216240.0
122,32180341,3487,209220.0
123,32183725,3384,203040.0
124,32187325,3600,216000.0
126,32190966,3641,109230.0
127,32194542,3576,214560.0
128,32198066,3524,211440.0
129,32201503,3437,206220.0
130,32204805,3302,198120.0
131,32208207,3402,204120.0
133,32211479,3272,98160.0
134,32214785,3306,198360.0
135,32218229,3444,206640.0
136,32221596,3367,202020.0
137,32225038,3442,206520.0
139,32228541,3503,105090.0
140,32231930,3389,203340.0
141,32235420,3490,209400.0
142,32238967,3547,212820.0
143,32242590,3623,217380.0
144,32246341,3751,225060.0
145,32250022,3681,220860.0
147,32253726,3704,111120.0
148,32257524,3798,227880.0
149,32261293,3769,226140.0
150,32265045,3752,225120.0
151,32268857,3812,228720.0
152,32272597,3740,224400.0
153,32276464,3867,232020.0
155,32280566,4102,123060.0
156,32284671,4105,246300.0
157,32288828,4157,249420.0
158,32293013,4185,251100.0
159,32297106,4093,245580.0
160,32301230,4124,247440.0
162,32305342,4112,123360.0
163,32309544,4202,252120.0
164,32313719,4175,250500.0
165,32317916,4197,251820.0
166,32322107,4191,251460.0
167,32326271,4164,249840.0
168,32330484,4213,252780.0
170,32334557,4073,122190.0
171,32338695,4138,248280.0
172,32342898,4203,252180.0
173,32347028,4130,247800.0
174,32351143,4115,246900.0
175,32355280,4137,248220.0
177,32359447,4167,125010.0
178,32363631,4184,251040.0
179,32367732,4101,246060.0
180,32371824,4092,245520.0
181,32375990,4166,249960.0
182,32380090,4100,246000.0
183,32384356,4266,255960.0
185,32388477,4121,123630.0
186,32392698,4221,253260.0
187,32396959,4261,255660.0
188,32401176,4217,253020.0
189,32405277,4101,246060.0
190,32409414,4137,248220.0
192,32413594,4180,125400.0
193,32417737,4143,248580.0
194,32421858,4121,247260.0
195,32426033,4175,250500.0
196,32430141,4108,246480.0
197,32434416,4275,256500.0
198,32438551,4135,248100.0
200,32442731,4180,125400.0
201,32446943,4212,252720.0
202,32451065,4122,247320.0
203,32455231,4166,249960.0
204,32459351,4120,247200.0
205,32463505,4154,249240.0
207,32467598,4093,122790.0
208,32471748,4150,249000.0
209,32475867,4119,247140.0
210,32480031,4164,249840.0
211,32484164,4133,247980.0
212,32488247,4083,244980.0
213,32492437,4190,251400.0
215,32496574,4137,124110.0
216,32500648,4074,244440.0
217,32504804,4156,249360.0
218,32508968,4164,249840.0
219,32513091,4123,247380.0
220,32517296,4205,252300.0
222,32521416,4120,123600.0
223,32525593,4177,250620.0
224,32529786,4193,251580.0
225,32533897,4111,246660.0
226,32538101,4204,252240.0
227,32542252,4151,249060.0
228,32546429,4177,250620.0
230,32550618,4189,125670.0
231,32554774,4156,249360.0
232,32558919,4145,248700.0
233,32563031,4112,246720.0
234,32567134,4103,246180.0
235,32571255,4121,247260.0
236,32575431,4176,250560.0
238,32579614,4183,125490.0
239,32583784,4170,250200.0
240,32587921,4137,248220.0
241,32592091,4170,250200.0
242,32596296,4205,252300.0
243,32600446,4150,249000.0
245,32604629,4183,125490.0
246,32608830,4201,252060.0
247,32613044,4214,252840.0
248,32617153,4109,246540.0
249,32621372,4219,253140.0
250,32625474,4102,246120.0
251,32629662,4188,251280.0
253,32633757,4095,122850.0
254,32637875,4118,247080.0
255,32642101,4226,253560.0
256,32646276,4175,250500.0
257,32650452,4176,250560.0
258,32654614,4162,249720.0
260,32658754,4140,124200.0
261,32662783,4029,241740.0
262,32666869,4086,245160.0
263,32670999,4130,247800.0
264,32675176,4177,250620.0
265,32679373,4197,251820.0
266,32683623,4250,255000.0
268,32687745,4122,123660.0
269,32691587,3842,230520.0
270,32695675,4088,245280.0
271,32699911,4236,254160.0
272,32704135,4224,253440.0
273,32708327,4192,251520.0
274,32712441,4114,246840.0
276,32716643,4202,126060.0
277,32720827,4184,251040.0
278,32724938,4111,246660.0
279,32729189,4251,255060.0
280,32733312,4123,247380.0
281,32737470,4158,249480.0
283,32741682,4212,126360.0
284,32745850,4168,250080.0
285,32750074,4224,253440.0
286,32754285,4211,252660.0
287,32758415,4130,247800.0
288,32762627,4212,252720.0
290,32766855,4228,126840.0
291,32771058,4203,252180.0
292,32775267,4209,252540.0
293,32779434,4167,250020.0
294,32783698,4264,255840.0
295,32787839,4141,248460.0
296,32792041,4202,252120.0
298,32796195,4154,124620.0
299,32800285,4090,245400.0
300,32804430,4145,248700.0
301,32808609,4179,250740.0
302,32812714,4105,246300.0
303,32816807,4093,245580.0
304,32821023,4216,252960.0
306,32825240,4217,126510.0
307,32829524,4284,257040.0
308,32833781,4257,255420.0
309,32837898,4117,247020.0
310,32842156,4258,255480.0
311,32846307,4151,249060.0
313,32850442,4135,124050.0
314,32854606,4164,249840.0
315,32858749,4143,248580.0
316,32862994,4245,254700.0
317,32867140,4146,248760.0
318,32871391,4251,255060.0
319,32875527,4136,248160.0
321,32879731,4204,126120.0
322,32883954,4223,253380.0
323,32888009,4055,243300.0
324,32892223,4214,252840.0
325,32896538,4315,258900.0
326,32900666,4128,247680.0
328,32904850,4184,125520.0
329,32908954,4104,246240.0
330,32913095,4141,248460.0
331,32917253,4158,249480.0
332,32921555,4302,258120.0
333,32925736,4181,250860.0
334,32929933,4197,251820.0
336,32934031,4098,122940.0
337,32938123,4092,245520.0
338,32942359,4236,254160.0
339,32946529,4170,250200.0
340,32950661,4132,247920.0
341,32954835,4174,250440.0
343,32958979,4144,124320.0
344,32963170,4191,251460.0
345,32967405,4235,254100.0
346,32971567,4162,249720.0
347,32975803,4236,254160.0
348,32979915,4112,246720.0
349,32984145,4230,253800.0
351,32988310,4165,124950.0
352,32992449,4139,248340.0
353,32996644,4195,251700.0
354,33000775,4131,247860.0
355,33004966,4191,251460.0
356,33009079,4113,246780.0
358,33013262,4183,125490.0
359,33017474,4212,252720.0
360,33021651,4177,250620.0
361,33025859,4208,252480.0
362,33029980,4121,247260.0
363,33034101,4121,247260.0
364,33038258,4157,249420.0
366,33042385,4127,123810.0
367,33046493,4108,246480.0
368,33050665,4172,250320.0
369,33054782,4117,247020.0
370,33058897,4115,246900.0
371,33063125,4228,253680.0
373,33067042,3917,117510.0
374,33071067,4025,241500.0
375,33075194,4127,247620.0
376,33079262,4068,244080.0
377,33083245,3983,238980.0
379,33087361,4116,123480.0
380,33091369,4008,240480.0
381,33095342,3973,238380.0
382,33099199,3857,231420.0
383,33103041,3842,230520.0
385,33106963,3922,117660.0
386,33110955,3992,239520.0
387,33115069,4114,246840.0
388,33118841,3772,226320.0
389,33122654,3813,228780.0
391,33126653,3999,119970.0
392,33130752,4099,245940.0
393,33134931,4179,250740.0
394,33139085,4154,249240.0
395,33143284,4199,251940.0
397,33147497,4213,126390.0
398,33151712,4215,252900.0
399,33155891,4179,250740.0
400,33160122,4231,253860.0
402,33163936,3814,114420.0
403,33167750,3814,228840.0
404,33171505,3755,225300.0
405,33175328,3823,229380.0
406,33179141,3813,228780.0
408,33183077,3936,118080.0
409,33186919,3842,230520.0
410,33190834,3915,234900.0
411,33194631,3797,227820.0
412,33198504,3873,232380.0
414,33202456,3952,118560.0
415,33206346,3890,233400.0
416,33210240,3894,233640.0
417,33214205,3965,237900.0
418,33218118,3913,234780.0
420,33222071,3953,118590.0
421,33226013,3942,236520.0
422,33229773,3760,225600.0
423,33233544,3771,226260.0
424,33237109,3565,213900.0
426,33241011,3902,117060.0
427,33244288,3277,196620.0
428,33247509,3221,193260.0
429,33250844,3335,200100.0
430,33254226,3382,202920.0
431,33257583,3357,201420.0
432,33261101,3518,211080.0
434,33264592,3491,104730.0
435,33268333,3741,224460.0
436,33272040,3707,222420.0
437,33275672,3632,217920.0
438,33279257,3585,215100.0
440,33282834,3577,107310.0
441,33286412,3578,214680.0
442,33289976,3564,213840.0
443,33293588,3612,216720.0
444,33297220,3632,217920.0
446,33300847,3627,108810.0
447,33304467,3620,217200.0
448,33308017,3550,213000.0
449,33311599,3582,214920.0
450,33315153,3554,213240.0
452,33318851,3698,110940.0
453,33322537,3686,221160.0
454,33326204,3667,220020.0
455,33330120,3916,234960.0
456,33334140,4020,241200.0
458,33338254,4114,123420.0
459,33342386,4132,247920.0
460,33346502,4116,246960.0
461,33350665,4163,249780.0
462,33354877,4212,252720.0
464,33359103,4226,126780.0
465,33363419,4316,258960.0
466,33367697,4278,256680.0
467,33371909,4212,252720.0
468,33376148,4239,254340.0
469,33380327,4179,250740.0
471,33384536,4209,126270.0
472,33388663,4127,247620.0
473,33393026,4363,261780.0
474,33397258,4232,253920.0
475,33401356,4098,245880.0
477,33405586,4230,126900.0
478,33409821,4235,254100.0
479,33414173,4352,261120.0
480,33418425,4252,255120.0
481,33422569,4144,248640.0
483,33426814,4245,127350.0
484,33431050,4236,254160.0
485,33435165,4115,246900.0
486,33439431,4266,255960.0
487,33443670,4239,254340.0
489,33447873,4203,126090.0
490,33452078,4205,252300.0
491,33456284,4206,252360.0
492,33460516,4232,253920.0
493,33464801,4285,257100.0
495,33469006,4205,126150.0
496,33473204,4198,251880.0
497,33477429,4225,253500.0
498,33481645,4216,252960.0
499,33485932,4287,257220.0
500,33490198,4266,255960.0
502,33494437,4239,127170.0
503,33498728,4291,257460.0
504,33502966,4238,254280.0
505,33507146,4180,250800.0
506,33511388,4242,254520.0
508,33515521,4133,123990.0
509,33519777,4256,255360.0
510,33523973,4196,251760.0
511,33528123,4150,249000.0
512,33532427,4304,258240.0
514,33536636,4209,126270.0
515,33540823,4187,251220.0
516,33545038,4215,252900.0
517,33549307,4269,256140.0
518,33553556,4249,254940.0
519,33557815,4259,255540.0
521,33562077,4262,127860.0
522,33566317,4240,254400.0
523,33570541,4224,253440.0
524,33574745,4204,252240.0
525,33578925,4180,250800.0
527,33583207,4282,128460.0
528,33587425,4218,253080.0
529,33591528,4103,246180.0
530,33595803,4275,256500.0
531,33599880,4077,244620.0
533,33604102,4222,126660.0
534,33608416,4314,258840.0
535,33612652,4236,254160.0
536,33616943,4291,257460.0
537,33621130,4187,251220.0
539,33625304,4174,125220.0
540,33629568,4264,255840.0
541,33633741,4173,250380.0
542,33637893,4152,249120.0
543,33641997,4104,246240.0
545,33646134,4137,124110.0
546,33650193,4059,243540.0
547,33654248,4055,243300.0
548,33658260,4012,240720.0
549,33662161,3901,234060.0
551,33666103,3942,118260.0
552,33670126,4023,241380.0
553,33674328,4202,252120.0
554,33678452,4124,247440.0
556,33682676,4224,126720.0
557,33686786,4110,246600.0
558,33690906,4120,247200.0
559,33694947,4041,242460.0
560,33698699,3752,225120.0
562,33702516,3817,114510.0
563,33706287,3771,226260.0
564,33710103,3816,228960.0
