elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010043,43,2580.0
3,30010251,208,12480.0
4,30010588,337,20220.0
6,30011071,483,14490.0
7,30011706,635,38100.0
8,30012492,786,47160.0
9,30013398,906,54360.0
10,30014492,1094,65640.0
11,30015668,1176,70560.0
12,30016973,1305,78300.0
13,30018366,1393,83580.0
14,30019869,1503,90180.0
15,30021526,1657,99420.0
16,30023245,1719,103140.0
17,30025098,1853,111180.0
18,30027076,1978,118680.0
19,30029157,2081,124860.0
20,30031420,2263,135780.0
21,30033757,2337,140220.0
22,30036097,2340,140400.0
23,30038542,2445,146700.0
24,30041086,2544,152640.0
25,30043758,2672,160320.0
26,30046530,2772,166320.0
27,30049400,2870,172200.0
28,30052346,2946,176760.0
29,30055394,3048,182880.0
30,30058553,3159,189540.0
31,30061759,3206,192360.0
32,30065098,3339,200340.0
33,30068527,3429,205740.0
34,30071983,3456,207360.0
35,30075441,3458,207480.0
36,30078929,3488,209280.0
37,30082461,3532,211920.0
38,30085996,3535,212100.0
39,30089560,3564,213840.0
40,30093263,3703,222180.0
41,30096915,3652,219120.0
43,30100673,3758,112740.0
44,30104446,3773,226380.0
45,30108214,3768,226080.0
46,30112079,3865,231900.0
47,30115931,3852,231120.0
48,30119846,3915,234900.0
49,30123672,3826,229560.0
50,30127592,3920,235200.0
51,30131554,3962,237720.0
52,30135446,3892,233520.0
53,30139419,3973,238380.0
54,30143481,4062,243720.0
55,30147559,4078,244680.0
56,30151646,4087,245220.0
57,30155731,4085,245100.0
58,30159829,4098,245880.0
59,30163887,4058,243480.0
60,30168097,4210,252600.0
61,30172190,4093,245580.0
62,30176518,4328,259680.0
63,30180779,4261,255660.0
64,30184874,4095,245700.0
65,30189029,4155,249300.0
66,30193211,4182,250920.0
67,30197411,4200,252000.0
68,30201481,4070,244200.0
69,30205572,4091,245460.0
70,30209725,4153,249180.0
72,30213868,4143,124290.0
73,30217950,4082,244920.0
74,30222137,4187,251220.0
75,30226238,4101,246060.0
76,30230409,4171,250260.0
77,30234483,4074,244440.0
78,30238695,4212,252720.0
79,30242827,4132,247920.0
80,30247107,4280,256800.0
81,30251370,4263,255780.0
82,30255531,4161,249660.0
83,30259790,4259,255540.0
84,30264090,4300,258000.0
85,30268328,4238,254280.0
86,30272640,4312,258720.0
87,30276898,4258,255480.0
88,30281246,4348,260880.0
89,30285631,4385,263100.0
90,30289961,4330,259800.0
91,30294291,4330,259800.0
92,30298639,4348,260880.0
93,30302933,4294,257640.0
94,30307247,4314,258840.0
95,30311649,4402,264120.0
96,30315970,4321,259260.0
98,30320362,4392,131760.0
99,30324696,4334,260040.0
100,30329014,4318,259080.0
101,30333384,4370,262200.0
102,30337754,4370,262200.0
103,30342133,4379,262740.0
104,30346528,4395,263700.0
105,30350931,4403,264180.0
106,30355343,4412,264720.0
107,30359693,4350,261000.0
108,30364003,4310,258600.0
109,30368373,4370,262200.0
110,30372711,4338,260280.0
111,30377101,4390,263400.0
112,30381480,4379,262740.0
113,30385888,4408,264480.0
114,30390265,4377,262620.0
115,30394632,4367,262020.0
116,30399010,4378,262680.0
117,30403384,4374,262440.0
118,30407788,4404,264240.0
119,30412139,4351,261060.0
120,30416479,4340,260400.0
121,30420864,4385,263100.0
122,30425201,4337,260220.0
123,30429670,4469,268140.0
124,30434044,4374,262440.0
126,30438443,4399,131970.0
127,30442883,4440,266400.0
128,30447323,4440,266400.0
129,30451755,4432,265920.0
130,30456179,4424,265440.0
131,30460605,4426,265560.0
132,30465011,4406,264360.0
133,30469372,4361,261660.0
134,30473818,4446,266760.0
135,30478278,4460,267600.0
136,30482701,4423,265380.0
137,30487132,4431,265860.0
138,30491593,4461,267660.0
139,30496072,4479,268740.0
140,30500523,4451,267060.0
141,30504908,4385,263100.0
142,30509373,4465,267900.0
143,30513766,4393,263580.0
144,30518282,4516,270960.0
145,30522713,4431,265860.0
146,30527242,4529,271740.0
147,30531718,4476,268560.0
148,30536140,4422,265320.0
149,30540643,4503,270180.0
150,30545146,4503,270180.0
152,30549650,4504,135120.0
153,30554095,4445,266700.0
154,30558645,4550,273000.0
155,30563086,4441,266460.0
156,30567550,4464,267840.0
157,30572016,4466,267960.0
158,30576405,4389,263340.0
159,30580965,4560,273600.0
160,30585560,4595,275700.0
161,30589998,4438,266280.0
