elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010099,99,5940.0
3,30010346,247,14820.0
5,30010764,418,12540.0
6,30011294,530,31800.0
7,30011959,665,39900.0
8,30012744,785,47100.0
9,30013715,971,58260.0
10,30014801,1086,65160.0
11,30016021,1220,73200.0
12,30017301,1280,76800.0
13,30018744,1443,86580.0
14,30020367,1623,97380.0
15,30022049,1682,100920.0
16,30023807,1758,105480.0
17,30025673,1866,111960.0
18,30027674,2001,120060.0
19,30029841,2167,130020.0
20,30032096,2255,135300.0
21,30034393,2297,137820.0
22,30036848,2455,147300.0
23,30039389,2541,152460.0
24,30042073,2684,161040.0
25,30044728,2655,159300.0
26,30047540,2812,168720.0
27,30050468,2928,175680.0
28,30053422,2954,177240.0
29,30056480,3058,183480.0
30,30059655,3175,190500.0
31,30062909,3254,195240.0
32,30066141,3232,193920.0
33,30069537,3396,203760.0
34,30072937,3400,204000.0
35,30076438,3501,210060.0
36,30079915,3477,208620.0
37,30083432,3517,211020.0
38,30086979,3547,212820.0
39,30090539,3560,213600.0
40,30094090,3551,213060.0
41,30097722,3632,217920.0
42,30101447,3725,223500.0
44,30105164,3717,111510.0
45,30108951,3787,227220.0
46,30112814,3863,231780.0
47,30116736,3922,235320.0
48,30120625,3889,233340.0
49,30124525,3900,234000.0
50,30128418,3893,233580.0
51,30132379,3961,237660.0
52,30136335,3956,237360.0
53,30140331,3996,239760.0
54,30144316,3985,239100.0
55,30148339,4023,241380.0
56,30152275,3936,236160.0
57,30156285,4010,240600.0
58,30160375,4090,245400.0
59,30164424,4049,242940.0
60,30168550,4126,247560.0
61,30172660,4110,246600.0
62,30176653,3993,239580.0
63,30180648,3995,239700.0
64,30184762,4114,246840.0
65,30188897,4135,248100.0
66,30192943,4046,242760.0
67,30197037,4094,245640.0
68,30201230,4193,251580.0
69,30205284,4054,243240.0
70,30209350,4066,243960.0
72,30213438,4088,122640.0
73,30217607,4169,250140.0
74,30221692,4085,245100.0
75,30225826,4134,248040.0
76,30229947,4121,247260.0
77,30234075,4128,247680.0
78,30238229,4154,249240.0
79,30242406,4177,250620.0
80,30246581,4175,250500.0
81,30250698,4117,247020.0
82,30254847,4149,248940.0
83,30258950,4103,246180.0
84,30263113,4163,249780.0
85,30267286,4173,250380.0
86,30271499,4213,252780.0
87,30275745,4246,254760.0
88,30280043,4298,257880.0
89,30284338,4295,257700.0
90,30288668,4330,259800.0
91,30293036,4368,262080.0
92,30297278,4242,254520.0
93,30301566,4288,257280.0
94,30305843,4277,256620.0
95,30310095,4252,255120.0
96,30314438,4343,260580.0
98,30318787,4349,130470.0
99,30323111,4324,259440.0
100,30327405,4294,257640.0
101,30331754,4349,260940.0
102,30336079,4325,259500.0
103,30340450,4371,262260.0
104,30344766,4316,258960.0
105,30349069,4303,258180.0
106,30353441,4372,262320.0
107,30357831,4390,263400.0
108,30362277,4446,266760.0
109,30366591,4314,258840.0
110,30370919,4328,259680.0
111,30375273,4354,261240.0
112,30379559,4286,257160.0
113,30383843,4284,257040.0
114,30388157,4314,258840.0
115,30392526,4369,262140.0
116,30396846,4320,259200.0
117,30401194,4348,260880.0
118,30405520,4326,259560.0
119,30409909,4389,263340.0
120,30414280,4371,262260.0
121,30418600,4320,259200.0
122,30423019,4419,265140.0
123,30427402,4383,262980.0
125,30431778,4376,131280.0
126,30436156,4378,262680.0
127,30440520,4364,261840.0
128,30444921,4401,264060.0
129,30449309,4388,263280.0
130,30453697,4388,263280.0
131,30458119,4422,265320.0
132,30462469,4350,261000.0
133,30466872,4403,264180.0
134,30471187,4315,258900.0
135,30475600,4413,264780.0
136,30479994,4394,263640.0
137,30484406,4412,264720.0
138,30488864,4458,267480.0
139,30493292,4428,265680.0
140,30497722,4430,265800.0
141,30502110,4388,263280.0
142,30506504,4394,263640.0
143,30510943,4439,266340.0
144,30515365,4422,265320.0
145,30519763,4398,263880.0
146,30524152,4389,263340.0
147,30528587,4435,266100.0
148,30533053,4466,267960.0
149,30537526,4473,268380.0
151,30541964,4438,133140.0
152,30546417,4453,267180.0
153,30550883,4466,267960.0
154,30555357,4474,268440.0
155,30559831,4474,268440.0
156,30564317,4486,269160.0
157,30568743,4426,265560.0
158,30573160,4417,265020.0
159,30577564,4404,264240.0
160,30581990,4426,265560.0
161,30586525,4535,272100.0
