elapsed_sec,sum_next_o_id,orders_delta,nopm_rate
0,30010000,0,0
1,30010000,0,0.0
2,30010043,43,2580.0
3,30010261,218,13080.0
4,30010602,341,20460.0
5,30011087,485,29100.0
6,30011706,619,37140.0
7,30012491,785,47100.0
8,30013420,929,55740.0
9,30014535,1115,66900.0
10,30015770,1235,74100.0
11,30017106,1336,80160.0
12,30018489,1383,82980.0
13,30020039,1550,93000.0
14,30021727,1688,101280.0
15,30023516,1789,107340.0
16,30025410,1894,113640.0
17,30027445,2035,122100.0
18,30029522,2077,124620.0
19,30031736,2214,132840.0
20,30034009,2273,136380.0
21,30036430,2421,145260.0
22,30038980,2550,153000.0
23,30041580,2600,156000.0
24,30044255,2675,160500.0
25,30047089,2834,170040.0
26,30049974,2885,173100.0
27,30053019,3045,182700.0
28,30056024,3005,180300.0
29,30059184,3160,189600.0
30,30062428,3244,194640.0
31,30065718,3290,197400.0
32,30069070,3352,201120.0
33,30072514,3444,206640.0
34,30076061,3547,212820.0
35,30079520,3459,207540.0
37,30083007,3487,104610.0
38,30086378,3371,202260.0
39,30089769,3391,203460.0
40,30093134,3365,201900.0
41,30096471,3337,200220.0
42,30099842,3371,202260.0
43,30103299,3457,207420.0
44,30106685,3386,203160.0
45,30110084,3399,203940.0
46,30113507,3423,205380.0
47,30116855,3348,200880.0
48,30120225,3370,202200.0
49,30123617,3392,203520.0
50,30126976,3359,201540.0
51,30130469,3493,209580.0
52,30133981,3512,210720.0
53,30137510,3529,211740.0
54,30141069,3559,213540.0
55,30144593,3524,211440.0
56,30148147,3554,213240.0
57,30151708,3561,213660.0
58,30155266,3558,213480.0
59,30158817,3551,213060.0
60,30162344,3527,211620.0
61,30165752,3408,204480.0
62,30169102,3350,201000.0
63,30172480,3378,202680.0
64,30175842,3362,201720.0
65,30179218,3376,202560.0
67,30182551,3333,99990.0
68,30185916,3365,201900.0
69,30189324,3408,204480.0
70,30192676,3352,201120.0
71,30196069,3393,203580.0
72,30199433,3364,201840.0
73,30202805,3372,202320.0
74,30206187,3382,202920.0
75,30209546,3359,201540.0
76,30212954,3408,204480.0
77,30216334,3380,202800.0
78,30219671,3337,200220.0
79,30223037,3366,201960.0
80,30226386,3349,200940.0
81,30229757,3371,202260.0
82,30233160,3403,204180.0
83,30236528,3368,202080.0
84,30239856,3328,199680.0
85,30243236,3380,202800.0
86,30246579,3343,200580.0
87,30249890,3311,198660.0
88,30253279,3389,203340.0
89,30256669,3390,203400.0
90,30259971,3302,198120.0
91,30263256,3285,197100.0
92,30266563,3307,198420.0
93,30269830,3267,196020.0
94,30273083,3253,195180.0
96,30276405,3322,99660.0
97,30279697,3292,197520.0
98,30283020,3323,199380.0
99,30286387,3367,202020.0
100,30289675,3288,197280.0
101,30293005,3330,199800.0
102,30296336,3331,199860.0
103,30299639,3303,198180.0
104,30302926,3287,197220.0
105,30306230,3304,198240.0
106,30309490,3260,195600.0
107,30312832,3342,200520.0
108,30316081,3249,194940.0
109,30319408,3327,199620.0
110,30322671,3263,195780.0
111,30325979,3308,198480.0
112,30329307,3328,199680.0
113,30332588,3281,196860.0
114,30335874,3286,197160.0
115,30339134,3260,195600.0
116,30342375,3241,194460.0
117,30345666,3291,197460.0
118,30348879,3213,192780.0
119,30352170,3291,197460.0
120,30355481,3311,198660.0
121,30358795,3314,198840.0
122,30362027,3232,193920.0
123,30365285,3258,195480.0
125,30368548,3263,97890.0
126,30371811,3263,195780.0
127,30375089,3278,196680.0
128,30378316,3227,193620.0
129,30381598,3282,196920.0
130,30384830,3232,193920.0
131,30388085,3255,195300.0
132,30391336,3251,195060.0
133,30394511,3175,190500.0
134,30397769,3258,195480.0
135,30401043,3274,196440.0
136,30404317,3274,196440.0
137,30407533,3216,192960.0
138,30410789,3256,195360.0
139,30414045,3256,195360.0
140,30417231,3186,191160.0
141,30420441,3210,192600.0
142,30423677,3236,194160.0
143,30426938,3261,195660.0
144,30430131,3193,191580.0
145,30433332,3201,192060.0
146,30436576,3244,194640.0
147,30439749,3173,190380.0
148,30442902,3153,189180.0
149,30446133,3231,193860.0
150,30449398,3265,195900.0
151,30452650,3252,195120.0
152,30455833,3183,190980.0
154,30459054,3221,96630.0
155,30462230,3176,190560.0
156,30465360,3130,187800.0
157,30468573,3213,192780.0
158,30471755,3182,190920.0
159,30474976,3221,193260.0
160,30478126,3150,189000.0
