second,tpm
0,0
1,1740
2,15660
3,32760
4,48840
5,70500
6,89880
7,114360
8,133620
9,154320
10,161760
11,187260
12,218280
13,246780
14,284100
15,322860
16,348720
17,376680
18,394020
19,421500
20,428820
21,446340
22,478620
23,498360
24,516660
25,546060
26,544320
27,589860
28,621120
29,628800
30,655500
31,665940
32,678960
33,695160
34,711240
35,730680
36,748260
37,761700
38,758340
39,771060
40,771420
41,789960
42,804600
43,817020
44,840720
45,879240
46,875820
47,883260
48,904380
49,912000
50,831540
51,831420
52,813180
53,846540
54,841560
55,839040
56,804240
57,820260
58,803040
59,809520
60,818520
61,794160
62,801600
63,807900
64,807480
65,755220
66,805920
67,786960
68,772440
69,783540
70,804720
71,806280
72,817020
73,821760
74,815160
75,796020
76,818460
77,839760
78,819780
79,823320
80,756060
81,737040
82,772440
83,776640
84,777360
85,792360
86,760560
87,770220
88,770400
89,771480
90,752280
91,776400
92,808620
93,881520
94,862260
95,809040
96,847740
97,854880
98,819180
99,861000
100,754620
101,789540
102,836220
103,811440
104,787320
105,824760
106,799200
107,827100
108,805500
109,814860
110,786180
111,785880
112,746820
113,766680
114,750120
115,807240
116,755460
117,841020
118,893460
119,772260
120,775920
121,831780
122,794280
123,798780
124,772800
125,832500
126,833280
127,808260
128,801180
129,810840
130,838260
131,820080
132,780840
133,712500
134,690600
135,686700
136,703740
137,731820
138,737040
139,733740
140,731460
141,706680
142,676080
143,701880
144,720960
145,702960
146,743040
147,756960
148,792720
149,787260
150,803640
151,792840
152,820500
153,830280
154,747300
155,752100
156,939780
157,933720
158,943620
159,954060
160,932880
161,938160
162,887400
163,935220
164,894300
165,922380
166,896220
167,892500
168,821100
169,879240
170,816900
171,828900
172,833760
173,784980
174,836220
175,883680
176,871140
177,875460
178,836340
179,846120
180,844860
181,855600
182,855000
183,858180
184,838440
185,840060
186,816840
187,851760
188,760500
189,859560
190,850200
191,813840
192,773220
193,821280
194,837480
195,842280
196,865560
197,835860
198,865140
199,828660
200,835200
201,885480
202,870900
203,895380
204,859740
205,845580
206,874920
207,816180
208,896700
209,829140
210,848760
211,796440
212,816600
213,805620
214,848280
215,680940
216,730080
217,721620
218,719880
219,732660
220,807360
221,1007940
222,999600
223,988140
224,990480
225,979680
226,984660
227,976920
228,975720
229,988320
230,989400
231,982200
232,974520
233,971220
234,910980
235,950820
236,943380
237,954060
238,933480
239,916860
240,903540
241,922740
242,933900
243,947880
244,960300
245,953580
246,959520
247,920580
248,929580
249,946740
250,953700
251,955740
252,974220
253,967140
254,951420
255,901680
256,959460
257,965820
258,968820
259,943320
260,927900
261,895500
262,920700
263,947640
264,956100
265,962040
266,953100
267,973080
268,947220
269,937860
270,963840
271,960060
272,957660
273,865140
274,904440
275,896520
276,857640
277,866040
278,877860
279,863760
280,871500
281,839520
282,859200
283,822720
284,861900
285,829980
286,867780
287,851940
288,863160
289,806640
290,802860
291,830040
292,847020
293,822720
294,878340
295,902580
296,932040
297,923040
298,881100
299,913320
300,881460
301,897360
302,858600
303,890700
304,858780
305,862920
306,850140
307,902040
308,907200
309,954660
310,964920
311,939660
312,951780
313,958260
314,958140
315,903660
316,891840
317,933960
318,900300
319,852540
320,898020
321,875520
322,878760
323,845880
324,702420
325,704220
326,719400
327,671220
328,718320
329,784260
330,760560
331,794460
332,748200
333,772680
334,747000
335,798540
336,849240
337,837780
338,834180
339,855360
340,837960
341,824220
342,789600
343,736380
344,779340
345,760740
346,796500
347,815160
348,800460
349,833700
350,863400
351,875040
352,868920
353,888840
354,886140
355,892680
356,945000
357,948600
358,898080
359,906720
360,933240
361,949140
362,945840
363,992400
364,973140
365,939660
366,972660
367,949500
368,981060
369,955620
370,944640
371,964440
372,925860
373,938880
374,953580
375,934440
376,982200
377,981180
378,983040
379,939240
380,936300
381,967980
382,962220
383,968640
384,978660
385,971880
386,953880
387,972300
388,953460
389,944340
390,961620
391,913560
392,910560
393,887220
394,893760
395,939300
396,917580
397,979380
398,854040
399,863580
400,893460
401,903540
402,891480
403,896160
404,906480
405,879300
406,890220
407,876180
408,882420
409,864420
410,762660
411,725280
412,786240
413,738540
414,765960
415,766620
416,722760
417,753180
418,766560
419,807660
420,769740
421,801840
422,772320
423,761520
424,751140
425,859800
426,901800
427,901440
428,908640
429,824640
430,859500
431,874080
432,880680
433,910440
434,888600
435,889500
436,961980
437,1012380
438,1005180
439,991740
440,970320
441,987480
442,982200
443,993720
444,979980
445,987960
446,987300
447,986160
448,944640
449,985680
450,987180
451,986220
452,981600
453,979560
454,988860
455,975960
456,981900
457,977100
458,982380
459,959280
460,969720
461,981720
462,891540
463,949500
464,973320
465,976500
466,976800
467,975180
468,961800
469,950460
470,935700
471,947760
472,919440
473,934920
474,902940
475,900720
476,908460
477,927960
478,889980
479,886200
480,892440
481,900060
482,931140
483,877680
484,864300
485,902160
486,932280
487,943020
488,968340
489,938160
490,930660
491,916140
492,921540
493,936840
494,935700
495,907620
496,881460
497,899280
498,898260
499,899580
500,894960
501,903780
502,901140
503,879000
504,913740
505,854940
506,835200
507,873840
508,891900
509,927960
510,968040
511,933840
512,963420
513,946500
514,919380
515,904860
516,895560
517,895980
518,891960
519,895080
520,926400
521,894960
522,875580
523,884820
524,885120
525,905880
526,900420
527,885240
528,876780
529,872700
530,878520
531,875580
532,891240
533,910380
534,879840
535,907740
536,885960
537,886920
538,909240
539,891780
540,906240
541,876420
542,901620
543,864840
544,901980
545,855480
546,880980
547,878460
548,894480
549,891480
550,901560
551,904980
552,873840
553,867060
554,883680
555,886980
556,876660
557,819600
558,831480
559,860160
560,815100
561,762000
562,716640
563,747180
564,757200
565,791760
566,835560
567,875580
568,895380
569,869580
570,858720
571,867480
572,896640
573,964920
574,980280
575,985080
576,880440
577,982800
578,916440
579,866700
580,921000
581,913260
582,802440
583,756960
584,730920
585,749520
586,741180
587,749220
588,678900
589,725880
590,759180
591,755760
592,777480
593,769380
594,789780
595,750180
596,767280
597,811140
598,818280
599,822120
600,795600
601,804240
602,802080
603,833520
604,793800
605,805620
606,922740
607,935700
608,924180
609,871320
610,850740
611,854880
612,939900
613,923820
614,1018500
615,1010220
616,1008300
617,1015740
618,1006320
619,968220
620,986820
621,967620
622,978420
623,968640
624,924000
625,982260
626,950820
627,976320
628,979200
629,949380
630,932400
631,929940
632,910620
633,931380
634,932760
635,895860
636,895440
637,932340
638,917760
639,940740
640,907140
641,938460
642,954480
643,923880
644,949860
645,938160
646,937980
647,853860
648,877080
649,885960
650,787080
651,838680
652,937080
653,910140
654,894300
655,877260
656,1007580
657,924720
658,990360
659,990300
660,981840
661,999960
662,1000800
663,990600
664,1002720
665,980280
666,995460
667,980700
668,928860
669,956040
670,922200
671,906180
672,879960
673,935100
674,884280
675,906120
676,712020
677,762540
678,769620
679,778380
680,867660
681,811380
682,786180
683,800760
684,777720
685,840240
686,739680
687,1080360
688,1037520
689,1052460
690,1010940
691,1011540
692,1022460
693,1020480
694,1018320
695,1015260
696,1007760
697,1007760
698,1020840
699,1005420
700,1006440
701,1009260
702,1014060
703,1008780
704,1013100
705,1014360
706,1007400
707,1015500
708,955440
709,1000440
710,1003860
711,1002060
712,1016520
713,1015440
714,1005660
715,1016700
716,1012920
717,999240
718,1017120
719,1018860
720,1008060
721,1010520
722,1013700
723,1012560
724,1008000
725,1009680
726,1014000
727,1017780
728,1018260
729,1022280
730,1031940
731,1000920
732,986640
733,984960
734,1004280
735,1003020
